w,i_vggish,i_spectrum,i_speechvgg,mark_speechvgg,mark_vggish,mark_spectrum,ico_2017,ico_2022,length,iconicity_mean,humor,sensory,sensory_sound,sensory_d2,conc,freq,cd,aoa
communicate,0.4810588955879211,-0.5088340044021606,0.0725620779942118,0.29013416095246836,0.8750612,0.77089345,,2.6,11,0.014928989726657405,,,4.474,,3.43,2.6385,338,7.63
reverberation,0.4790941774845123,0.1673189103603363,-0.2040371179257716,0.14284142527968724,0.8249801,0.45882845,,,13,0.14745865663969235,,,3.824,,2.68,0.699,3,14.82
explosion,0.478703886270523,0.2241904735565185,-0.2329041323571387,0.345961185343137,0.86020446,0.78686124,3.545454545,5.1,9,0.15666340915663426,,,4.0,,4.52,2.9253,467,7.16
rustling,0.4786050021648407,-0.3812838494777679,-0.1403495592358576,0.3031991352134109,0.8202363,0.8572306,2.416666667,,8,-0.014342802182928271,,,4.0,,3.41,2.0128,62,
umpire,0.4784074127674103,0.4123857021331787,-0.1621863376618329,0.3119955014906868,0.88143927,0.85373765,,3.0,6,0.24286892574625205,,,4.278,,4.27,1.7404,30,7.56
cowbell,0.4750381708145141,0.8803176283836365,0.0483518769794062,0.33960499505682423,0.86465687,0.8634517,,4.3,7,0.4679025587258523,,,4.263,,4.8,1.0414,8,7.42
gunshot,0.4736983478069305,0.4151791632175445,-0.2118769300847075,0.3641178090738805,0.88660145,0.8408659,1.1,5.4,7,0.2256668603132558,1.25,,4.238,,4.93,2.7168,310,6.78
singing,0.4723781645298004,-0.3911220729351043,-0.2045680712043763,0.23478475891807393,0.8485177,0.842974,,,7,-0.04110399320322674,,,4.778,,4.2,3.3583,1194,
plead,0.4710522592067718,0.3241534829139709,-0.0306983108691419,0.3888986347210299,0.8779947,0.79979503,,3.9,5,0.25483581041720027,,,4.235,2.73,2.59,2.5539,249,10.22
bleating,0.4704908430576324,-0.0949030220508575,-0.2354069937156555,0.31098681359974545,0.869646,0.84201854,1.714285714,,8,0.04672694243037314,,,3.786,,3.52,1.1139,11,
percussion,0.4694376289844513,0.7593813538551331,-0.1039038895379405,0.3222018952815317,0.78145254,0.8498028,,3.636363636363636,10,0.3749716977672146,,,4.706,,3.52,1.4771,22,10.47
bird,0.468905508518219,-0.1424149721860885,-0.1292731954966303,0.31566802269864236,0.88520336,0.75866914,0.727272727,3.4,4,0.06573911361183339,2.689655172,,3.68,3.6,5.0,3.3653,1196,3.52
